Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,SNI,Category
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61766,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.8.8,61767,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,63044,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,63044,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,63044,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,119.29.29.29,62862,53,UDP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,61769,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61770,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61768,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,119.29.29.29,62863,53,UDP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,61772,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.8.8,61771,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,61773,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61775,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.8.8,61774,443,TCP,,Unclassified
2024-10-09 17:35:54,223.5.5.5,172.20.160.113,53,62860,UDP,,Unclassified
2024-10-09 17:35:54,119.29.29.29,172.20.160.113,53,62862,UDP,,Unclassified
2024-10-09 17:35:54,223.5.5.5,172.20.160.113,53,62861,UDP,,Unclassified
2024-10-09 17:35:54,119.29.29.29,172.20.160.113,53,62863,UDP,,Unclassified
2024-10-09 17:35:54,1.0.0.1,172.20.160.113,443,52927,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,51.104.15.252,61610,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,51.104.15.252,61610,443,TCP,,Unclassified
2024-10-09 17:35:54,1.0.0.1,172.20.160.113,443,52927,TCP,,Unclassified
2024-10-09 17:35:54,1.0.0.1,172.20.160.113,443,52927,TCP,,Unclassified
2024-10-09 17:35:54,1.0.0.1,172.20.160.113,853,61733,TCP,,Unclassified
2024-10-09 17:35:54,1.0.0.1,172.20.160.113,443,52927,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,1.0.0.1,172.20.160.113,443,52927,TCP,,Unclassified
2024-10-09 17:35:54,1.0.0.1,172.20.160.113,443,52927,TCP,,Unclassified
